"-28",89
29,55
"-90",-57
17,87
"-28",62
"-19",47
"-38",7
"-42",68
12,41
45,34
25,47
13,54
"-48",-48
40,75
2,32
"-68",-82
"-9",-1
44,51
"-18",-28
"-43",80
"-12",8
19,19
"-47",72
"-22",5
"-5",3
9,64
11,89
"-31",4
21,29
33,28
"-11",39
"-81",11
"-21",-50
44,44
"-74",-23
"-69",-36
"-24",22
"-22",88
37,87
"-25",0
"-36",86
10,33
1,6
"-2",-52
"-74",4
"-46",34
37,30
"-4",20
"-34",-1
1,85
"-1",22
"-11",-49
26,50
8,51
"-81",9
"-16",2
"-24",59
"-20",90
"-24",30
37,63
"-21",17
"-39",16
"-19",63
"-16",-47
10,-45
41,-42
19,35
"-19",-52
"-36",-50
33,83
"-24",16
"-70",6
44,69
4,72
47,85
18,26
41,88
"-38",3
"-30",1
5,-49
18,65
"-42",3
"-13",-45
8,3
"-39",1
"-7",56
"-5",20
"-7",29
"-85",18
"-19",87
31,6
"-42",4
17,65
"-12",20
"-16",-24
"-35",6
"-44",56
18,-48
"-78",12
20,27
"-27",-44
14,83
"-6",-47
42,41
22,40
"-19",-22
"-23",-2
32,83
"-4",31
35,2
6,-1
"-6",18
"-11",88
41,64
"-20",-17
"-29",7
37,-43
"-67",6
"-21",1
"-85",-25
40,41
"-77",-75
41,39
21,62
44,45
"-27",18
"-82",17
"-21",24
"-5",30
19,4
8,38
"-15",87
"-6",23
"-2",3
"-73",8
"-4",89
"-16",-52
"-16",-13
"-41",3
"-12",2
"-7",18
"-42",66
"-67",-2
12,60
"-35",85
49,-1
15,62
7,-50
43,3
8,3
10,45
"-51",-50
45,89
13,83
"-16",2
"-5",33
"-49",-50
"-23",67
0,57
28,-49
"-66",-2
26,-45
8,48
44,55
42,43
40,82
"-90",-55
14,66
7,56
"-22",-50
17,6
"-66",1
"-46",69
"-42",63
0,29
24,-45
16,63
41,76
23,-2
21,53
"-18",-19
"-17",64
"-4",69
"-69",10
"-17",43
5,55
19,-51
3,18
0,69
43,83
"-41",6
"-28",-2
"-22",1
"-26",37
"-35",3
15,4
"-46",12
5,19
"-67",-4
18,-49
"-60",-84
8,43
"-44",14
"-25",67
5,47
41,73
11,66
20,32
32,3
"-90",-16
44,53
20,39
41,21
3,68
"-84",-15
"-46",59
"-55",-50
"-41",90
"-23",-51
"-35",1
5,23
12,52
"-44",86
6,1
24,-3
19,32
"-43",42
13,57
23,90
43,71
"-16",4
"-10",33
"-44",81
17,-51
"-42",37
13,79
"-17",-4
44,-40
33,-1
"-44",55
21,33
24,0
8,45
"-41",81
"-46",85
10,53
11,2
"-21",52
34,-3
20,39
"-84",-64
"-79",-56
"-43",36
"-66",-85
14,35
"-65",-88
38,53
"-59",-42
"-15",41
"-12",68
"-16",39
"-20",-11
"-90",-15
6,25
"-11",-50
"-39",63
"-22",83
"-18",-13
"-22",5
44,-35
"-19",62
"-28",1
"-30",50
41,65
17,34
"-1",88
"-28",57
"-73",8
25,66
32,83
"-6",-49
"-43",54
"-24",85
29,-48
"-72",0
43,-33
"-69",-76
"-4",2
"-83",-22
"-65",-77
"-7",-45
4,70
"-64",-33
"-5",27
"-5",68
"-17",85
8,48
"-10",-50
42,12
"-19",20
"-18",-48
"-81",12
55,-27
"-8",30
9,-48
"-43",50
"-17",66
22,69
"-8",18
"-6",4
43,33
"-42",41
37,4
10,47
8,88
0,69
"-27",28
9,0
"-25",34
1,57
"-35",1
"-79",-27
11,36
"-24",67
"-55",-53
24,29
"-69",-1
0,65
"-5",90
"-42",73
"-40",3
"-45",39
"-24",8
"-19",84
"-47",62
40,85
"-15",51
"-14",1
5,88
"-74",-33
"-32",-52
21,48
"-18",-15
23,80
"-45",83
17,23
"-46",22
40,5
42,86
6,68
"-16",39
20,24
7,58
"-46",69
"-44",78
"-14",59
43,47
"-6",35
21,65
"-10",30
"-17",-15
"-45",52
"-23",-52
"-5",21
46,21
"-69",-80
44,6
43,19
"-24",37
10,61
"-24",62
"-4",48
11,38
"-46",69
15,53
12,36
"-72",-73
"-22",44
"-44",78
34,-46
43,-1
"-23",34
24,32
0,20
"-20",80
45,16
"-34",1
43,7
"-23",26
"-17",40
"-8",67
"-2",85
"-21",50
